"","fips","county","year","location","technical_assistance_contacts","on_site_and_virtual_consultation_visits"
"1",19197,"Adair",2020,"Center Based",18,0
"2",19197,"Adair",2020,"Home Based",49,11
"3",19197,"Adams",2020,"Center Based",15,5
"4",19197,"Adams",2020,"Home Based",33,16
"5",19197,"Allamakee",2020,"Center Based",74,33
"6",19197,"Allamakee",2020,"Home Based",196,29
"7",19197,"Appanoose",2020,"Center Based",114,17
"8",19197,"Appanoose",2020,"Home Based",41,3
"9",19197,"Audubon",2020,"Center Based",9,3
"10",19197,"Audubon",2020,"Home Based",40,16
"11",19197,"Benton",2020,"Center Based",47,8
"12",19197,"Benton",2020,"Home Based",54,6
"13",19197,"Black Hawk",2020,"Center Based",1181,399
"14",19197,"Black Hawk",2020,"Home Based",3643,357
"15",19197,"Boone",2020,"Center Based",26,1
"16",19197,"Boone",2020,"Home Based",233,24
"17",19197,"Bremer",2020,"Center Based",107,8
"18",19197,"Bremer",2020,"Home Based",189,22
"19",19197,"Buchanan",2020,"Center Based",149,27
"20",19197,"Buchanan",2020,"Home Based",267,32
"21",19197,"Buena Vista",2020,"Center Based",108,15
"22",19197,"Buena Vista",2020,"Home Based",128,28
"23",19197,"Butler",2020,"Center Based",86,15
"24",19197,"Butler",2020,"Home Based",164,29
"25",19197,"Calhoun",2020,"Center Based",10,8
"26",19197,"Calhoun",2020,"Home Based",25,4
"27",19197,"Carroll",2020,"Center Based",58,30
"28",19197,"Carroll",2020,"Home Based",180,70
"29",19197,"Cass",2020,"Center Based",95,30
"30",19197,"Cass",2020,"Home Based",195,68
"31",19197,"Cedar",2020,"Center Based",41,8
"32",19197,"Cedar",2020,"Home Based",84,7
"33",19197,"Cerro Gordo",2020,"Center Based",220,82
"34",19197,"Cerro Gordo",2020,"Home Based",466,123
"35",19197,"Cherokee",2020,"Center Based",123,50
"36",19197,"Cherokee",2020,"Home Based",112,16
"37",19197,"Chickasaw",2020,"Center Based",73,8
"38",19197,"Chickasaw",2020,"Home Based",125,6
"39",19197,"Clarke",2020,"Center Based",68,10
"40",19197,"Clarke",2020,"Home Based",183,16
"41",19197,"Clay",2020,"Center Based",27,14
"42",19197,"Clay",2020,"Home Based",77,21
"43",19197,"Clayton",2020,"Center Based",152,10
"44",19197,"Clayton",2020,"Home Based",71,4
"45",19197,"Clinton",2020,"Center Based",95,19
"46",19197,"Clinton",2020,"Home Based",191,30
"47",19197,"Crawford",2020,"Center Based",69,7
"48",19197,"Crawford",2020,"Home Based",124,19
"49",19197,"Dallas",2020,"Center Based",434,65
"50",19197,"Dallas",2020,"Home Based",312,61
"51",19197,"Davis",2020,"Center Based",54,15
"52",19197,"Davis",2020,"Home Based",34,6
"53",19197,"Decatur",2020,"Center Based",14,2
"54",19197,"Decatur",2020,"Home Based",75,4
"55",19197,"Delaware",2020,"Center Based",122,11
"56",19197,"Delaware",2020,"Home Based",61,13
"57",19197,"Des Moines",2020,"Center Based",161,28
"58",19197,"Des Moines",2020,"Home Based",675,64
"59",19197,"Dickinson",2020,"Center Based",56,18
"60",19197,"Dickinson",2020,"Home Based",38,7
"61",19197,"Dubuque",2020,"Center Based",853,109
"62",19197,"Dubuque",2020,"Home Based",1163,88
"63",19197,"Emmet",2020,"Center Based",17,4
"64",19197,"Emmet",2020,"Home Based",27,13
"65",19197,"Fayette",2020,"Center Based",131,27
"66",19197,"Fayette",2020,"Home Based",168,27
"67",19197,"Floyd",2020,"Center Based",92,15
"68",19197,"Floyd",2020,"Home Based",708,62
"69",19197,"Franklin",2020,"Center Based",67,8
"70",19197,"Franklin",2020,"Home Based",72,10
"71",19197,"Fremont",2020,"Center Based",2,0
"72",19197,"Fremont",2020,"Home Based",76,18
"73",19197,"Greene",2020,"Center Based",13,6
"74",19197,"Greene",2020,"Home Based",19,10
"75",19197,"Grundy",2020,"Center Based",107,12
"76",19197,"Grundy",2020,"Home Based",45,1
"77",19197,"Guthrie",2020,"Center Based",8,3
"78",19197,"Guthrie",2020,"Home Based",50,12
"79",19197,"Hamilton",2020,"Center Based",21,11
"80",19197,"Hamilton",2020,"Home Based",55,16
"81",19197,"Hancock",2020,"Center Based",72,25
"82",19197,"Hancock",2020,"Home Based",153,46
"83",19197,"Hardin",2020,"Center Based",34,16
"84",19197,"Hardin",2020,"Home Based",65,6
"85",19197,"Harrison",2020,"Center Based",52,19
"86",19197,"Harrison",2020,"Home Based",80,18
"87",19197,"Henry",2020,"Center Based",60,10
"88",19197,"Henry",2020,"Home Based",112,14
"89",19197,"Howard",2020,"Center Based",86,14
"90",19197,"Howard",2020,"Home Based",135,27
"91",19197,"Humboldt",2020,"Center Based",22,6
"92",19197,"Humboldt",2020,"Home Based",100,79
"93",19197,"Ida",2020,"Center Based",47,37
"94",19197,"Ida",2020,"Home Based",20,1
"95",19197,"Iowa",2020,"Center Based",15,3
"96",19197,"Iowa",2020,"Home Based",59,6
"97",19197,"Jackson",2020,"Center Based",36,5
"98",19197,"Jackson",2020,"Home Based",21,2
"99",19197,"Jasper",2020,"Center Based",186,71
"100",19197,"Jasper",2020,"Home Based",248,65
"101",19197,"Jefferson",2020,"Center Based",26,3
"102",19197,"Jefferson",2020,"Home Based",60,2
"103",19197,"Johnson",2020,"Center Based",364,81
"104",19197,"Johnson",2020,"Home Based",354,43
"105",19197,"Jones",2020,"Center Based",28,14
"106",19197,"Jones",2020,"Home Based",57,5
"107",19197,"Keokuk",2020,"Center Based",0,0
"108",19197,"Keokuk",2020,"Home Based",11,1
"109",19197,"Kossuth",2020,"Center Based",77,17
"110",19197,"Kossuth",2020,"Home Based",118,21
"111",19197,"Lee",2020,"Center Based",153,19
"112",19197,"Lee",2020,"Home Based",185,19
"113",19197,"Linn",2020,"Center Based",433,84
"114",19197,"Linn",2020,"Home Based",628,104
"115",19197,"Louisa",2020,"Center Based",26,6
"116",19197,"Louisa",2020,"Home Based",34,3
"117",19197,"Lucas",2020,"Center Based",42,6
"118",19197,"Lucas",2020,"Home Based",43,2
"119",19197,"Lyon",2020,"Center Based",148,34
"120",19197,"Lyon",2020,"Home Based",151,12
"121",19197,"Madison",2020,"Center Based",79,7
"122",19197,"Madison",2020,"Home Based",161,24
"123",19197,"Mahaska",2020,"Center Based",166,26
"124",19197,"Mahaska",2020,"Home Based",317,30
"125",19197,"Marion",2020,"Center Based",104,23
"126",19197,"Marion",2020,"Home Based",206,44
"127",19197,"Marshall",2020,"Center Based",46,15
"128",19197,"Marshall",2020,"Home Based",246,48
"129",19197,"Mills",2020,"Center Based",40,10
"130",19197,"Mills",2020,"Home Based",56,7
"131",19197,"Mitchell",2020,"Center Based",102,7
"132",19197,"Mitchell",2020,"Home Based",195,15
"133",19197,"Monona",2020,"Center Based",16,12
"134",19197,"Monona",2020,"Home Based",89,23
"135",19197,"Monroe",2020,"Center Based",115,18
"136",19197,"Monroe",2020,"Home Based",122,13
"137",19197,"Montgomery",2020,"Center Based",51,6
"138",19197,"Montgomery",2020,"Home Based",82,21
"139",19197,"Muscatine",2020,"Center Based",84,31
"140",19197,"Muscatine",2020,"Home Based",261,19
"141",19197,"O'Brien",2020,"Center Based",52,52
"142",19197,"O'Brien",2020,"Home Based",49,8
"143",19197,"Osceola",2020,"Center Based",17,4
"144",19197,"Osceola",2020,"Home Based",13,7
"145",19197,"Page",2020,"Center Based",106,25
"146",19197,"Page",2020,"Home Based",95,28
"147",19197,"Palo Alto",2020,"Center Based",20,6
"148",19197,"Palo Alto",2020,"Home Based",33,1
"149",19197,"Plymouth",2020,"Center Based",286,40
"150",19197,"Plymouth",2020,"Home Based",224,30
"151",19197,"Pocahontas",2020,"Center Based",16,2
"152",19197,"Pocahontas",2020,"Home Based",5,1
"153",19197,"Polk",2020,"Center Based",705,231
"154",19197,"Polk",2020,"Home Based",4587,979
"155",19197,"Pottawattamie",2020,"Center Based",348,183
"156",19197,"Pottawattamie",2020,"Home Based",516,175
"157",19197,"Poweshiek",2020,"Center Based",57,18
"158",19197,"Poweshiek",2020,"Home Based",86,29
"159",19197,"Ringgold",2020,"Center Based",24,13
"160",19197,"Ringgold",2020,"Home Based",31,7
"161",19197,"Sac",2020,"Center Based",50,5
"162",19197,"Sac",2020,"Home Based",18,1
"163",19197,"Scott",2020,"Center Based",358,132
"164",19197,"Scott",2020,"Home Based",1218,136
"165",19197,"Shelby",2020,"Center Based",83,11
"166",19197,"Shelby",2020,"Home Based",59,27
"167",19197,"Sioux",2020,"Center Based",409,62
"168",19197,"Sioux",2020,"Home Based",244,18
"169",19197,"Story",2020,"Center Based",192,47
"170",19197,"Story",2020,"Home Based",656,102
"171",19197,"Tama",2020,"Center Based",23,5
"172",19197,"Tama",2020,"Home Based",58,3
"173",19197,"Taylor",2020,"Center Based",30,22
"174",19197,"Taylor",2020,"Home Based",59,17
"175",19197,"Union",2020,"Center Based",66,14
"176",19197,"Union",2020,"Home Based",222,52
"177",19197,"Van Buren",2020,"Center Based",30,3
"178",19197,"Van Buren",2020,"Home Based",30,3
"179",19197,"Wapello",2020,"Center Based",197,33
"180",19197,"Wapello",2020,"Home Based",226,25
"181",19197,"Warren",2020,"Center Based",219,27
"182",19197,"Warren",2020,"Home Based",484,79
"183",19197,"Washington",2020,"Center Based",76,15
"184",19197,"Washington",2020,"Home Based",43,5
"185",19197,"Wayne",2020,"Center Based",22,2
"186",19197,"Wayne",2020,"Home Based",82,7
"187",19197,"Webster",2020,"Center Based",43,34
"188",19197,"Webster",2020,"Home Based",262,70
"189",19197,"Winnebago",2020,"Center Based",227,52
"190",19197,"Winnebago",2020,"Home Based",427,89
"191",19197,"Winneshiek",2020,"Center Based",126,62
"192",19197,"Winneshiek",2020,"Home Based",254,25
"193",19197,"Woodbury",2020,"Center Based",350,79
"194",19197,"Woodbury",2020,"Home Based",616,83
"195",19197,"Worth",2020,"Center Based",19,3
"196",19197,"Worth",2020,"Home Based",173,36
"197",19197,"Wright",2020,"Center Based",12,3
"198",19197,"Wright",2020,"Home Based",68,33
