"","fips","county","year","provider_type","programs","spaces"
"1",19001,"Adair",2020,"Total",16,350
"2",19003,"Adams",2020,"Total",10,156
"3",19005,"Allamakee",2020,"Total",22,520
"4",19007,"Appanoose",2020,"Total",13,376
"5",19009,"Audubon",2020,"Total",15,242
"6",19011,"Benton",2020,"Total",29,967
"7",19013,"Black Hawk",2020,"Total",289,7857
"8",19015,"Boone",2020,"Total",36,963
"9",19017,"Bremer",2020,"Total",56,1429
"10",19019,"Buchanan",2020,"Total",23,787
"11",19021,"Buena Vista",2020,"Total",24,798
"12",19023,"Butler",2020,"Total",38,832
"13",19025,"Calhoun",2020,"Total",11,265
"14",19027,"Carroll",2020,"Total",63,1158
"15",19029,"Cass",2020,"Total",37,796
"16",19031,"Cedar",2020,"Total",30,922
"17",19033,"Cerro Gordo",2020,"Total",65,2562
"18",19035,"Cherokee",2020,"Total",21,504
"19",19037,"Chickasaw",2020,"Total",17,515
"20",19039,"Clarke",2020,"Total",19,608
"21",19041,"Clay",2020,"Total",32,864
"22",19043,"Clayton",2020,"Total",21,589
"23",19045,"Clinton",2020,"Total",50,1844
"24",19047,"Crawford",2020,"Total",25,527
"25",19049,"Dallas",2020,"Total",113,7484
"26",19051,"Davis",2020,"Total",7,395
"27",19053,"Decatur",2020,"Total",11,328
"28",19055,"Delaware",2020,"Total",18,500
"29",19057,"Des Moines",2020,"Total",88,2099
"30",19059,"Dickinson",2020,"Total",27,709
"31",19061,"Dubuque",2020,"Total",155,5753
"32",19063,"Emmet",2020,"Total",20,401
"33",19065,"Fayette",2020,"Total",22,774
"34",19067,"Floyd",2020,"Total",43,865
"35",19069,"Franklin",2020,"Total",19,536
"36",19071,"Fremont",2020,"Total",10,173
"37",19073,"Greene",2020,"Total",17,480
"38",19075,"Grundy",2020,"Total",18,724
"39",19077,"Guthrie",2020,"Total",20,346
"40",19079,"Hamilton",2020,"Total",29,748
"41",19081,"Hancock",2020,"Total",19,324
"42",19083,"Hardin",2020,"Total",24,662
"43",19085,"Harrison",2020,"Total",17,480
"44",19087,"Henry",2020,"Total",19,530
"45",19089,"Howard",2020,"Total",22,541
"46",19091,"Humboldt",2020,"Total",36,676
"47",19093,"Ida",2020,"Total",11,232
"48",19095,"Iowa",2020,"Total",25,620
"49",19097,"Jackson",2020,"Total",10,708
"50",19099,"Jasper",2020,"Total",48,1178
"51",19101,"Jefferson",2020,"Total",16,501
"52",19103,"Johnson",2020,"Total",199,9722
"53",19105,"Jones",2020,"Total",35,859
"54",19107,"Keokuk",2020,"Total",6,107
"55",19109,"Kossuth",2020,"Total",25,639
"56",19111,"Lee",2020,"Total",40,1260
"57",19113,"Linn",2020,"Total",298,13781
"58",19115,"Louisa",2020,"Total",10,385
"59",19117,"Lucas",2020,"Total",10,287
"60",19119,"Lyon",2020,"Total",21,507
"61",19121,"Madison",2020,"Total",28,816
"62",19123,"Mahaska",2020,"Total",34,1101
"63",19125,"Marion",2020,"Total",32,1388
"64",19127,"Marshall",2020,"Total",60,1542
"65",19129,"Mills",2020,"Total",17,508
"66",19131,"Mitchell",2020,"Total",19,512
"67",19133,"Monona",2020,"Total",19,363
"68",19135,"Monroe",2020,"Total",16,367
"69",19137,"Montgomery",2020,"Total",21,483
"70",19139,"Muscatine",2020,"Total",60,1684
"71",19141,"O'Brien",2020,"Total",31,865
"72",19143,"Osceola",2020,"Total",7,198
"73",19145,"Page",2020,"Total",21,745
"74",19147,"Palo Alto",2020,"Total",20,466
"75",19149,"Plymouth",2020,"Total",41,1058
"76",19151,"Pocahontas",2020,"Total",7,259
"77",19153,"Polk",2020,"Total",888,35996
"78",19155,"Pottawattamie",2020,"Total",171,5548
"79",19157,"Poweshiek",2020,"Total",24,657
"80",19159,"Ringgold",2020,"Total",8,214
"81",19161,"Sac",2020,"Total",17,323
"82",19163,"Scott",2020,"Total",297,9333
"83",19165,"Shelby",2020,"Total",25,457
"84",19167,"Sioux",2020,"Total",51,1603
"85",19169,"Story",2020,"Total",113,4057
"86",19171,"Tama",2020,"Total",22,583
"87",19173,"Taylor",2020,"Total",9,319
"88",19175,"Union",2020,"Total",34,712
"89",19177,"Van Buren",2020,"Total",6,156
"90",19179,"Wapello",2020,"Total",37,1671
"91",19181,"Warren",2020,"Total",83,3065
"92",19183,"Washington",2020,"Total",26,950
"93",19185,"Wayne",2020,"Total",10,236
"94",19187,"Webster",2020,"Total",79,2341
"95",19189,"Winnebago",2020,"Total",22,764
"96",19191,"Winneshiek",2020,"Total",40,937
"97",19193,"Woodbury",2020,"Total",192,7352
"98",19195,"Worth",2020,"Total",19,313
"99",19197,"Wright",2020,"Total",25,581
