"","County","Percent","Year"
"1","Adair",90.1234567901235,2020
"2","Adams",60.4166666666667,2020
"3","Allamakee",68.9119170984456,2020
"4","Appanoose",59.7222222222222,2020
"5","Audubon",68.5714285714286,2020
"6","Benton",75.7575757575758,2020
"7","Black Hawk",84.6446700507614,2020
"8","Boone",104.819277108434,2020
"9","Bremer",90.0343642611684,2020
"10","Buchanan",82.1292775665399,2020
"11","Buena Vista",75.8389261744966,2020
"12","Butler",90.9774436090226,2020
"13","Calhoun",89.6907216494845,2020
"14","Carroll",70.5660377358491,2020
"15","Cass",100,2020
"16","Cedar",81.6216216216216,2020
"17","Cerro Gordo",85.0325379609544,2020
"18","Cherokee",65.0406504065041,2020
"19","Chickasaw",70.4697986577181,2020
"20","Clarke",83.3333333333333,2020
"21","Clay",76.2376237623762,2020
"22","Clayton",51.0204081632653,2020
"23","Clinton",70.1465201465201,2020
"24","Crawford",77.1551724137931,2020
"25","Dallas",76.6323024054983,2020
"26","Davis",40,2020
"27","Decatur",63.8095238095238,2020
"28","Delaware",91.6201117318436,2020
"29","Des Moines",82.8850855745721,2020
"30","Dickinson",87.5912408759124,2020
"31","Dubuque",69.432684165961,2020
"32","Emmet",88.6363636363636,2020
"33","Fayette",78.5087719298246,2020
"34","Floyd",55.7692307692308,2020
"35","Franklin",55.2447552447552,2020
"36","Fremont",36.986301369863,2020
"37","Greene",70.4,2020
"38","Grundy",90.5511811023622,2020
"39","Guthrie",82.6086956521739,2020
"40","Hamilton",76.3157894736842,2020
"41","Hancock",75.8064516129032,2020
"42","Hardin",80,2020
"43","Harrison",40.9356725146199,2020
"44","Henry",77.3584905660377,2020
"45","Howard",67.479674796748,2020
"46","Humboldt",78.8135593220339,2020
"47","Ida",63.953488372093,2020
"48","Iowa",78.6802030456853,2020
"49","Jackson",60.9243697478992,2020
"50","Jasper",68.4684684684685,2020
"51","Jefferson",55.4140127388535,2020
"52","Johnson",81.3589897775105,2020
"53","Jones",93.719806763285,2020
"54","Keokuk",78.8135593220339,2020
"55","Kossuth",80.1136363636364,2020
"56","Lee",68.8564476885645,2020
"57","Linn",77.583749109052,2020
"58","Louisa",84.4262295081967,2020
"59","Lucas",60.3603603603604,2020
"60","Lyon",35.7142857142857,2020
"61","Madison",72.020725388601,2020
"62","Mahaska",82.4175824175824,2020
"63","Marion",67.5062972292191,2020
"64","Marshall",97.8448275862069,2020
"65","Mills",47.0588235294118,2020
"66","Mitchell",87.3949579831933,2020
"67","Monona",84.9462365591398,2020
"68","Monroe",73.0337078651685,2020
"69","Montgomery",76.5625,2020
"70","Muscatine",74.390243902439,2020
"71","Obrien",76.5432098765432,2020
"72","Osceola",68.3333333333333,2020
"73","Page",66.4596273291926,2020
"74","Palo Alto",70.1923076923077,2020
"75","Plymouth",67.6100628930818,2020
"76","Pocahontas",82.8571428571429,2020
"77","Polk",75.0961675452344,2020
"78","Pottawattamie",59.0531561461794,2020
"79","Poweshiek",86.5384615384615,2020
"80","Ringgold",79.6610169491525,2020
"81","Sac",59.2857142857143,2020
"82","Scott",73.1336405529954,2020
"83","Shelby",76.8595041322314,2020
"84","Sioux",78.8,2020
"85","Story",82.8213879408419,2020
"86","Tama",67.5675675675676,2020
"87","Taylor",60.8108108108108,2020
"88","Union",65.2173913043478,2020
"89","Van Buren",74.4186046511628,2020
"90","Wapello",67.342799188641,2020
"91","Warren",77.9299847792998,2020
"92","Washington",71.9557195571956,2020
"93","Wayne",55.1724137931034,2020
"94","Webster",78.3410138248848,2020
"95","Winnebago",67.9611650485437,2020
"96","Winneshiek",90.2857142857143,2020
"97","Woodbury",73.5172413793103,2020
"98","Worth",67.032967032967,2020
"99","Wright",70.253164556962,2020
